Firstname,Lastname,Party,Constituency,Gender
Enda,Kenny,Fine Gael,Mayo,Male
Maria ,Bailey,Fine Gael,Dun Laoghaire,Female
Sean,Barrett,Fine Gael,Dun Laoghaire,Male
Pat ,Breen,Fine Gael,Clare,Male
Colm,Brophy,Fine Gael,Dublin South West,Male
Richard ,Bruton,Fine Gael,Dublin Bay North,Male
Peter,Burke,Fine Gael,Longford-Westmeath,Male
Catherine,Byrne,Fine Gael,Dublin South Central,Female
Ciaran,Cannon,Fine Gael,Galway East,Male
Joe,Carey,Fine Gael,Clare,Male
Marcella,Corcoran - Kennedy,Fine Gael,Offaly,Female
Simon,Coveney,Fine Gael,Cork South Central,Male
Michael,Creed,Fine Gael,Cork North West,Male
Michael,D'Arcy,Fine Gael,Wexford,Male
Jim,Daly,Fine Gael,Cork South West,Male
John ,Deasy,Fine Gael,Waterford,Male
Pat ,Deering,Fine Gael,Carlow-Kilkenny,Male
Regina,Doherty,Fine Gael,Meath East,Female
Paschal,Donohoe,Fine Gael,Dublin Central,Male
Andrew,Doyle,Fine Gael,Wicklow,Male
Bernard,Durkan,Fine Gael,Kildare North,Male
Damien,English,Fine Gael,Meath West,Male
Alan,Farrell,Fine Gael,Dublin Fingal,Male
Frances,Fitzgerald,Fine Gael,Dublin Mid West,Male
Peter,Fitzpatrick,Fine Gael,Louth,Male
Charlie,Flanagan,Fine Gael,Laois,Male
Brendan,Griffin,Fine Gael,Kerry,Male
Simon,Harris,Fine Gael,Wicklow,Male
Martin,Heydon,Fine Gael,Kildare South,Male
Heather,Humphreys,Fine Gael,Cavan-Monaghan,Female
Paul,Kehoe,Fine Gael,Wexford,Male
Sean,Kyne,Fine Gael,Galway West,Male
Helen,McEntee,Fine Gael,Meath East,Female
Joe,McHugh,Fine Gael,Donegal,Male
Tony,McLoughlin,Fine Gael,Sligo-Leitrim,Male
Mary,Mitchell - O'Connor,Fine Gael,Dun Laoghaire,Female
Dara,Murphy,Fine Gael,Cork North Central,Male
Eoghan,Murphy,Fine Gael,Dublin Bay South,Male
Hildegarde,Naughton,Fine Gael,Galway West,Female
Michael ,Noonan,Fine Gael,Limerick City,Male
Patrick,O'Donovan,Fine Gael,Limerick City,Male
Fergus,O'Dowd,Fine Gael,Louth,Male
John Paul,Phelan,Fine Gael,Carlow-Kilkenny,Male
Michael,Ring,Fine Gael,Mayo,Male
Noel,Rock,Fine Gael,Dublin North West,Male
David,Stanton,Fine Gael,Cork East,Male
Leo,Varadkar,Fine Gael,Dublin West,Male
Seamus,Healy,WUAG,Tipperary,Male
Bobby,Aylward,Fianna Fail,Carlow-Kilkenny,Male
John,McGuinness,Fianna Fail,Carlow-Kilkenny,Male
Jennifer,Murane-O'Connor,Fianna Fail,Carlow-Kilkenny,Female
Mike,Durkan,Fianna Fail,Cavan-Monaghan,Male
Brendan,Smith,Fianna Fail,Cavan-Monaghan,Male
Niamh,Smyth,Fianna Fail,Cavan-Monaghan,Female
Ciara,Colleran-Molloy,Fianna Fail,Clare,Female
Timmy,Dooley,Fianna Fail,Clare,Male
Michael,McDonagh,Fianna Fail,Clare,Male
Barbara,Ahern,Fianna Fail,Cork East,Female
Kevin,O'Keeffe,Fianna Fail,Cork East,Male
Billy ,Kelleher,Fianna Fail,Cork North Central,Male
Aindrias,Moynihan,Fianna Fail,Cork North West,Male
Michael,Moynihan,Fianna Fail,Cork North West,Male
Michael,Martin,Fianna Fail,Cork South Central,Male
Michael,McGrath,Fianna Fail,Cork South Central,Male
Margaret,Murphy-O'Mahony,Fianna Fail,Cork South West,Female
Path,Gallagher,Fianna Fail,Donegal,Male
Charlie,McConalogue,Fianna Fail,Donegal,Male
John,Curran,Fianna Fail,Dublin Mid West,Male
